signature_type,signature,n,target_class,p_epoch4,p_epoch5,p_v1,p_v2,p_v3,delta_epoch5,delta_v1,delta_v2,delta_v3
top_ops,different+different+or,20,KKN,0.0500,0.0500,0.0500,0.0500,0.0500,+0.0000,+0.0000,+0.0000,+0.0000
top_ops,different+different+or,20,KNK,0.1000,0.1000,0.1000,0.1500,0.1000,+0.0000,+0.0000,+0.0500,+0.0000
top_ops,different+different+or,20,KNN,0.0500,0.0500,0.0500,0.0500,0.0500,+0.0000,+0.0000,+0.0000,+0.0000
top_ops,different+different+or,20,NKK,0.2000,0.2000,0.2000,0.1500,0.2000,+0.0000,+0.0000,-0.0500,+0.0000
top_ops,different+different+or,20,NKN,0.0500,0.0500,0.0500,0.0500,0.0500,+0.0000,+0.0000,+0.0000,+0.0000
top_ops,different+different+or,20,NNK,0.2000,0.2000,0.2000,0.1500,0.2000,+0.0000,+0.0000,-0.0500,+0.0000
top_ops,different+different+or,20,NNN,0.3500,0.3500,0.3500,0.4000,0.3500,+0.0000,+0.0000,+0.0500,+0.0000
top_ops,or+different+person_is,21,KKK,0.0000,0.0000,0.0476,0.0476,0.0000,+0.0000,+0.0476,+0.0476,+0.0000
top_ops,or+different+person_is,21,KKN,0.1905,0.2381,0.2381,0.2381,0.3810,+0.0476,+0.0476,+0.0476,+0.1905
top_ops,or+different+person_is,21,KNK,0.1905,0.1905,0.1429,0.1905,0.0476,+0.0000,-0.0476,+0.0000,-0.1429
top_ops,or+different+person_is,21,KNN,0.2381,0.1905,0.1905,0.1429,0.1905,-0.0476,-0.0476,-0.0952,-0.0476
top_ops,or+different+person_is,21,NKK,0.0000,0.0476,0.0000,0.0476,0.0000,+0.0476,+0.0000,+0.0476,+0.0000
top_ops,or+different+person_is,21,NKN,0.0476,0.0476,0.3333,0.1429,0.0476,+0.0000,+0.2857,+0.0952,+0.0000
top_ops,or+different+person_is,21,NNK,0.1429,0.1429,0.0000,0.0952,0.1429,+0.0000,-0.1429,-0.0476,+0.0000
top_ops,or+different+person_is,21,NNN,0.1905,0.1429,0.0476,0.0952,0.1905,-0.0476,-0.1429,-0.0952,+0.0000
