id,gt_pattern,same_count,different_count,and_count,or_count,not_count,person_is_count,expression_nodes,expression_depth,top_ops,top_ops_multiset,op_signature,statement_chars,epoch4_pred,epoch4_correct,epoch5_pred,epoch5_correct,v1_pred,v1_correct,v2_pred,v2_correct,v3_pred,v3_correct
row_0000,KKN,4,1,1,2,0,1,9,3,and+same+or,and|or|same,person_is:1+same:4+different:1+and:1+or:2,220,KKN,1,KKN,1,KKN,1,KKN,1,KKN,1
row_0001,KKN,3,2,2,1,0,1,9,3,different+or+and,and|different|or,person_is:1+same:3+different:2+and:2+or:1,224,KKN,1,KKN,1,KKN,1,KKN,1,KKN,1
row_0002,NKN,2,2,2,2,0,3,11,3,and+or+same,and|or|same,person_is:3+same:2+different:2+and:2+or:2,239,NKN,1,NKN,1,NKK,0,NKN,1,NKN,1
row_0003,KNN,1,3,1,2,0,2,9,3,or+different+person_is,different|or|person_is,person_is:2+same:1+different:3+and:1+or:2,212,KNN,1,KNN,1,KNN,1,KNN,1,KNN,1
row_0004,KKN,1,2,1,2,1,3,10,3,and+different+or,and|different|or,person_is:3+same:1+different:2+not:1+and:1+or:2,213,NNN,0,NNN,0,NNN,0,NNN,0,NNN,0
row_0005,NNK,1,2,2,0,1,2,8,3,not+same+and,and|not|same,person_is:2+same:1+different:2+not:1+and:2,181,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0006,KKK,3,1,1,1,0,1,7,3,or+same+same,or|same|same,person_is:1+same:3+different:1+and:1+or:1,176,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0007,NNN,1,3,1,0,1,0,6,2,different+and+not,and|different|not,same:1+different:3+not:1+and:1,167,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0008,NNK,2,0,0,1,1,2,6,3,or+same+person_is,or|person_is|same,person_is:2+same:2+not:1+or:1,134,KNN,0,NNK,1,KNN,0,KNN,0,KNN,0
row_0009,KNN,4,2,3,1,0,1,11,3,same+and+and,and|and|same,person_is:1+same:4+different:2+and:3+or:1,272,KNN,1,KNN,1,KNN,1,KNN,1,KNN,1
