signature_type,signature,n,acc_epoch4,acc_epoch5,acc_v1,acc_v2,acc_v3,delta_epoch5,delta_v1,delta_v2,delta_v3,gt_distribution
top_ops,different+different+or,20,0.9000,0.9000,0.9000,0.8000,0.9000,+0.0000,+0.0000,-0.1000,+0.0000,"{""KKN"": 1, ""KNK"": 2, ""KNN"": 2, ""NKK"": 5, ""NNK"": 4, ""NNN"": 6}"
top_ops,or+different+person_is,21,0.6667,0.6190,0.6667,0.7619,0.5714,-0.0476,+0.0000,+0.0952,-0.0952,"{""KKN"": 4, ""KNK"": 2, ""KNN"": 4, ""NKK"": 2, ""NKN"": 5, ""NNK"": 2, ""NNN"": 2}"
top_ops,or+same+same,23,0.9565,0.9565,0.9130,0.9130,0.8696,+0.0000,-0.0435,-0.0435,-0.0870,"{""KKK"": 12, ""KKN"": 2, ""KNK"": 2, ""KNN"": 6, ""NKK"": 1}"
top_ops,same+or+not,20,0.7000,0.9000,0.8500,0.9000,0.9000,+0.2000,+0.1500,+0.2000,+0.2000,"{""KKK"": 8, ""NKK"": 5, ""NKN"": 4, ""NNK"": 3}"
top_ops,same+same+or,28,0.9286,1.0000,1.0000,0.9643,1.0000,+0.0714,+0.0714,+0.0357,+0.0714,"{""KKK"": 19, ""KNK"": 1, ""NKK"": 3, ""NNK"": 5}"
top_ops_multiset,and|and|different,33,0.7879,0.6364,0.7879,0.7576,0.6970,-0.1515,+0.0000,-0.0303,-0.0909,"{""KKN"": 2, ""KNK"": 3, ""KNN"": 2, ""NKK"": 2, ""NKN"": 6, ""NNK"": 4, ""NNN"": 14}"
top_ops_multiset,and|and|not,22,0.5000,0.4545,0.5909,0.7273,0.5909,-0.0455,+0.0909,+0.2273,+0.0909,"{""KKK"": 1, ""KKN"": 1, ""KNK"": 2, ""KNN"": 2, ""NKK"": 3, ""NKN"": 3, ""NNK"": 5, ""NNN"": 5}"
top_ops_multiset,and|and|or,21,0.6667,0.6667,0.6190,0.6667,0.5714,+0.0000,-0.0476,+0.0000,-0.0952,"{""KKK"": 3, ""KKN"": 1, ""KNK"": 1, ""KNN"": 3, ""NKK"": 2, ""NKN"": 3, ""NNK"": 6, ""NNN"": 2}"
top_ops_multiset,and|and|person_is,29,0.6207,0.6207,0.5517,0.6897,0.6207,+0.0000,-0.0690,+0.0690,+0.0000,"{""KKN"": 1, ""KNK"": 1, ""KNN"": 5, ""NKK"": 1, ""NKN"": 2, ""NNK"": 4, ""NNN"": 15}"
top_ops_multiset,and|and|same,24,0.6250,0.7500,0.7083,0.6250,0.7500,+0.1250,+0.0833,+0.0000,+0.1250,"{""KKK"": 3, ""KKN"": 2, ""KNK"": 1, ""KNN"": 8, ""NKK"": 2, ""NKN"": 4, ""NNK"": 4}"
top_ops_multiset,and|different|different,34,0.9118,0.8529,0.9118,0.8824,0.9118,-0.0588,+0.0000,-0.0294,+0.0000,"{""KNK"": 1, ""KNN"": 1, ""NKK"": 2, ""NKN"": 1, ""NNK"": 2, ""NNN"": 27}"
top_ops_multiset,and|different|not,44,0.5909,0.6364,0.6136,0.6818,0.5455,+0.0455,+0.0227,+0.0909,-0.0455,"{""KKN"": 5, ""KNK"": 5, ""KNN"": 7, ""NKK"": 6, ""NKN"": 4, ""NNK"": 5, ""NNN"": 12}"
top_ops_multiset,and|different|or,60,0.7000,0.7167,0.8000,0.7000,0.6833,+0.0167,+0.1000,+0.0000,-0.0167,"{""KKN"": 15, ""KNK"": 12, ""KNN"": 7, ""NKK"": 8, ""NKN"": 7, ""NNK"": 4, ""NNN"": 7}"
