signature_type,signature,n,v1_wc,v1_cw,v1_wc_rate,v1_cw_rate,v2_wc,v2_cw,v2_wc_rate,v2_cw_rate,v3_wc,v3_cw,v3_wc_rate,v3_cw_rate
top_ops,different+different+or,20,0,0,0.0000,0.0000,0,2,0.0000,0.1000,0,0,0.0000,0.0000
top_ops,or+different+person_is,21,3,3,0.1429,0.1429,3,1,0.1429,0.0476,0,2,0.0000,0.0952
top_ops,or+same+same,23,0,1,0.0000,0.0435,0,1,0.0000,0.0435,0,2,0.0000,0.0870
top_ops,same+or+not,20,3,0,0.1500,0.0000,4,0,0.2000,0.0000,4,0,0.2000,0.0000
top_ops,same+same+or,28,2,0,0.0714,0.0000,1,0,0.0357,0.0000,2,0,0.0714,0.0000
top_ops_multiset,and|and|different,33,2,2,0.0606,0.0606,0,1,0.0000,0.0303,1,4,0.0303,0.1212
top_ops_multiset,and|and|not,22,3,1,0.1364,0.0455,6,1,0.2727,0.0455,3,1,0.1364,0.0455
top_ops_multiset,and|and|or,21,2,3,0.0952,0.1429,1,1,0.0476,0.0476,1,3,0.0476,0.1429
top_ops_multiset,and|and|person_is,29,0,2,0.0000,0.0690,2,0,0.0690,0.0000,2,2,0.0690,0.0690
top_ops_multiset,and|and|same,24,3,1,0.1250,0.0417,2,2,0.0833,0.0833,3,0,0.1250,0.0000
top_ops_multiset,and|different|different,34,1,1,0.0294,0.0294,1,2,0.0294,0.0588,2,2,0.0588,0.0588
top_ops_multiset,and|different|not,44,6,5,0.1364,0.1136,7,3,0.1591,0.0682,5,7,0.1136,0.1591
top_ops_multiset,and|different|or,60,9,3,0.1500,0.0500,3,3,0.0500,0.0500,4,5,0.0667,0.0833
top_ops_multiset,and|different|person_is,70,3,5,0.0429,0.0714,4,2,0.0571,0.0286,1,3,0.0143,0.0429
top_ops_multiset,and|different|same,67,7,5,0.1045,0.0746,7,4,0.1045,0.0597,6,5,0.0896,0.0746
top_ops_multiset,and|not|or,39,2,1,0.0513,0.0256,2,3,0.0513,0.0769,4,4,0.1026,0.1026
top_ops_multiset,and|not|person_is,53,6,3,0.1132,0.0566,5,3,0.0943,0.0566,8,5,0.1509,0.0943
top_ops_multiset,and|not|same,50,7,1,0.1400,0.0200,7,2,0.1400,0.0400,7,2,0.1400,0.0400
top_ops_multiset,and|or|person_is,51,5,2,0.0980,0.0392,8,1,0.1569,0.0196,5,5,0.0980,0.0980
top_ops_multiset,and|or|same,61,7,6,0.1148,0.0984,5,3,0.0820,0.0492,6,5,0.0984,0.0820
top_ops_multiset,and|person_is|person_is,31,1,1,0.0323,0.0323,4,0,0.1290,0.0000,3,1,0.0968,0.0323
top_ops_multiset,and|person_is|same,93,4,4,0.0430,0.0430,6,4,0.0645,0.0430,6,4,0.0645,0.0430
top_ops_multiset,and|same|same,52,1,1,0.0192,0.0192,1,1,0.0192,0.0192,1,3,0.0192,0.0577
top_ops_multiset,different|different|not,31,1,2,0.0323,0.0645,4,0,0.1290,0.0000,2,0,0.0645,0.0000
top_ops_multiset,different|different|or,54,3,3,0.0556,0.0556,2,4,0.0370,0.0741,3,0,0.0556,0.0000
top_ops_multiset,different|not|not,27,1,4,0.0370,0.1481,1,2,0.0370,0.0741,3,1,0.1111,0.0370
top_ops_multiset,different|not|or,48,5,6,0.1042,0.1250,7,2,0.1458,0.0417,4,3,0.0833,0.0625
top_ops_multiset,different|not|person_is,81,7,7,0.0864,0.0864,8,6,0.0988,0.0741,7,7,0.0864,0.0864
top_ops_multiset,different|not|same,72,4,5,0.0556,0.0694,8,6,0.1111,0.0833,4,5,0.0556,0.0694
top_ops_multiset,different|or|or,29,3,3,0.1034,0.1034,3,4,0.1034,0.1379,2,6,0.0690,0.2069
top_ops_multiset,different|or|person_is,78,9,5,0.1154,0.0641,11,5,0.1410,0.0641,7,5,0.0897,0.0641
top_ops_multiset,different|or|same,92,8,4,0.0870,0.0435,10,10,0.1087,0.1087,7,7,0.0761,0.0761
top_ops_multiset,not|not|same,24,0,0,0.0000,0.0000,2,1,0.0833,0.0417,1,0,0.0417,0.0000
top_ops_multiset,not|or|person_is,49,5,3,0.1020,0.0612,8,7,0.1633,0.1429,7,2,0.1429,0.0408
top_ops_multiset,not|or|same,61,7,4,0.1148,0.0656,5,5,0.0820,0.0820,7,4,0.1148,0.0656
top_ops_multiset,not|person_is|person_is,21,1,1,0.0476,0.0476,2,0,0.0952,0.0000,1,1,0.0476,0.0476
top_ops_multiset,not|person_is|same,60,1,0,0.0167,0.0000,7,1,0.1167,0.0167,5,0,0.0833,0.0000
top_ops_multiset,not|same|same,40,3,0,0.0750,0.0000,3,0,0.0750,0.0000,2,2,0.0500,0.0500
top_ops_multiset,or|or|person_is,27,2,0,0.0741,0.0000,1,1,0.0370,0.0370,1,1,0.0370,0.0370
top_ops_multiset,or|or|same,33,3,2,0.0909,0.0606,1,1,0.0303,0.0303,2,2,0.0606,0.0606
top_ops_multiset,or|person_is|person_is,38,1,3,0.0263,0.0789,2,0,0.0526,0.0000,2,0,0.0526,0.0000
top_ops_multiset,or|person_is|same,72,3,1,0.0417,0.0139,2,6,0.0278,0.0833,1,3,0.0139,0.0417
top_ops_multiset,or|same|same,66,2,1,0.0303,0.0152,1,1,0.0152,0.0152,2,2,0.0303,0.0303
