id,gold_pattern,epoch4_pred8way,epoch4_gold_q,epoch4_gold_rank,epoch4_top1_margin,epoch4_gold_margin,epoch4_norm_entropy,epoch4_eff_support,epoch5_pred8way,epoch5_gold_q,epoch5_gold_rank,epoch5_top1_margin,epoch5_gold_margin,epoch5_norm_entropy,epoch5_eff_support,v1_pred8way,v1_gold_q,v1_gold_rank,v1_top1_margin,v1_gold_margin,v1_norm_entropy,v1_eff_support,v2_pred8way,v2_gold_q,v2_gold_rank,v2_top1_margin,v2_gold_margin,v2_norm_entropy,v2_eff_support,v3_pred8way,v3_gold_q,v3_gold_rank,v3_top1_margin,v3_gold_margin,v3_norm_entropy,v3_eff_support
kk_grpo_v3_final_holdout_000000,KKN,KKN,0.679182,1,0.8502,0.8502,0.350360,2.0721,KKN,0.991422,1,4.8629,4.8629,0.025142,1.0537,KKN,0.993287,1,5.0485,5.0485,0.020050,1.0426,KKN,0.998966,1,6.8875,6.8875,0.003954,1.0083,KKN,0.999964,1,10.3121,10.3121,0.000200,1.0004
kk_grpo_v3_final_holdout_000001,KKN,KKN,0.711157,1,1.2500,1.2500,0.376385,2.1873,KKN,0.954572,1,3.7274,3.7274,0.104094,1.2417,KKN,0.996375,1,6.2491,6.2491,0.012748,1.0269,KKN,0.997040,1,5.8750,5.8750,0.010008,1.0210,KKN,0.995304,1,5.5003,5.5003,0.015265,1.0323
kk_grpo_v3_final_holdout_000002,NKN,NKN,0.813939,1,2.0000,2.0000,0.292753,1.8382,NKN,0.737569,1,1.1250,1.1250,0.314290,1.9223,NKK,0.406325,2,0.3750,-0.3750,0.332817,1.9979,NKN,0.979868,1,4.0000,4.0000,0.050755,1.1113,NKN,0.796987,1,1.3750,1.3750,0.246910,1.6710
kk_grpo_v3_final_holdout_000003,KNN,KNN,0.754816,1,2.1781,2.1781,0.415990,2.3751,KNN,0.827514,1,2.2500,2.2500,0.318464,1.9391,KNN,0.869640,1,1.9999,1.9999,0.210778,1.5501,KNN,0.938480,1,2.7501,2.7501,0.115382,1.2712,KNN,0.677863,1,0.8413,0.8413,0.359875,2.1135
kk_grpo_v3_final_holdout_000004,KKN,NNN,0.185170,2,1.1782,-1.1782,0.553977,3.1644,NNN,0.327329,2,0.3714,-0.3714,0.621337,3.6402,NNN,0.020520,2,3.8526,-3.8526,0.087131,1.1986,NNN,0.162932,2,1.6092,-1.6092,0.270287,1.7543,NNN,0.052475,2,2.8762,-2.8762,0.141345,1.3417
kk_grpo_v3_final_holdout_000005,NNK,NNK,0.512662,1,0.4838,0.4838,0.505506,2.8610,NNK,0.479328,1,0.4109,0.4109,0.520316,2.9505,NNK,0.718324,1,1.5985,1.5985,0.426560,2.4279,NNK,0.548160,1,0.3730,0.3730,0.429527,2.4429,NNK,0.746353,1,1.6514,1.6514,0.398761,2.2915
kk_grpo_v3_final_holdout_000006,KKK,KKK,0.984048,1,4.1291,4.1291,0.039715,1.0861,KKK,0.994779,1,5.2507,5.2507,0.015720,1.0332,KKK,0.999196,1,7.1250,7.1250,0.003144,1.0066,KKK,0.994781,1,5.2549,5.2549,0.015769,1.0333,KKK,0.999983,1,11.0000,11.0000,0.000097,1.0002
kk_grpo_v3_final_holdout_000007,NNN,NNN,0.971888,1,3.7119,3.7119,0.069015,1.1543,NNN,0.951447,1,3.0222,3.0222,0.098546,1.2274,NNN,0.997726,1,6.3060,6.3060,0.008475,1.0178,NNN,0.999654,1,8.9730,8.9730,0.001723,1.0036,NNN,0.999440,1,8.2981,8.2981,0.002645,1.0055
kk_grpo_v3_final_holdout_000008,NNK,KNN,0.308473,2,0.1780,-0.1780,0.610198,3.5568,NNK,0.479460,1,0.4815,0.4815,0.542189,3.0878,KNN,0.208190,2,1.2901,-1.2901,0.327747,1.9769,KNN,0.220328,2,1.2562,-1.2562,0.272686,1.7630,KNN,0.105775,2,2.0627,-2.0627,0.275140,1.7721
kk_grpo_v3_final_holdout_000009,KNN,KNN,0.995684,1,5.6944,5.6944,0.014979,1.0316,KNN,0.999848,1,9.7500,9.7500,0.000799,1.0017,KNN,0.999945,1,10.3193,10.3193,0.000313,1.0007,KNN,0.999994,1,12.4394,12.4394,0.000041,1.0001,KNN,0.999917,1,9.8750,9.8750,0.000455,1.0009
kk_grpo_v3_final_holdout_000010,KKK,KKK,0.999194,1,7.1250,7.1250,0.003153,1.0066,KKK,0.997816,1,6.1250,6.1250,0.007487,1.0157,KKK,0.999569,1,7.7502,7.7502,0.001815,1.0038,KKK,0.999891,1,9.1268,9.1268,0.000535,1.0011,KKK,0.999769,1,8.3753,8.3753,0.001041,1.0022
kk_grpo_v3_final_holdout_000011,KNN,NKN,0.294180,2,0.8736,-0.8736,0.295521,1.8488,NKN,0.437902,2,0.2492,-0.2492,0.330831,1.9896,NKN,0.468884,2,0.1244,-0.1244,0.333076,1.9989,KNN,0.817766,1,1.5023,1.5023,0.229037,1.6101,KNN,0.932268,1,2.6370,2.6370,0.121957,1.2887
kk_grpo_v3_final_holdout_000012,NNN,NNN,0.993284,1,5.5183,5.5183,0.023285,1.0496,NNN,0.997479,1,6.3067,6.3067,0.009499,1.0199,NNN,0.999152,1,7.4054,7.4054,0.003672,1.0077,NNN,0.999918,1,9.6034,9.6034,0.000439,1.0009,NNN,0.999662,1,8.6651,8.6651,0.001621,1.0034
kk_grpo_v3_final_holdout_000013,NNK,NNK,0.720689,1,1.8849,1.8849,0.474044,2.6798,NNK,0.809044,1,2.0230,2.0230,0.344172,2.0456,NNK,0.872650,1,2.2179,2.2179,0.235889,1.6332,NNK,0.807375,1,1.6159,1.6159,0.290101,1.8280,KNK,0.221172,3,0.0000,-0.4937,0.611354,3.5654
kk_grpo_v3_final_holdout_000014,NNN,NNN,0.999843,1,8.9315,8.9315,0.000779,1.0016,NNN,0.999943,1,10.3553,10.3553,0.000327,1.0007,NNN,0.999830,1,9.0052,9.0052,0.000856,1.0018,NNN,0.999958,1,11.1086,11.1086,0.000247,1.0005,NNN,0.999833,1,9.1865,9.1865,0.000847,1.0018
kk_grpo_v3_final_holdout_000015,KNK,NKN,0.313401,2,0.5477,-0.5477,0.535580,3.0456,NKN,0.145977,3,0.1250,-1.0885,0.550667,3.1427,NKK,0.036091,2,3.2704,-3.2704,0.114032,1.2676,KNK,0.723134,1,1.0872,1.0872,0.335194,2.0078,NKK,0.115072,2,1.9786,-1.9786,0.285169,1.8094
kk_grpo_v3_final_holdout_000016,KNK,KNK,0.931023,1,2.9252,2.9252,0.148754,1.3625,KNK,0.961354,1,3.3918,3.3918,0.088654,1.2024,KNK,0.993048,1,5.6102,5.6102,0.023158,1.0493,KNK,0.999625,1,8.1776,8.1776,0.001753,1.0037,KNK,0.988578,1,4.6250,4.6250,0.033004,1.0710
kk_grpo_v3_final_holdout_000017,KKN,KKN,0.999994,1,12.3147,12.3147,0.000037,1.0001,KKN,0.999999,1,14.5016,14.5016,0.000007,1.0000,KKN,0.999995,1,12.3750,12.3750,0.000031,1.0001,KKN,0.999992,1,11.7500,11.7500,0.000052,1.0001,KKN,0.999991,1,11.6875,11.6875,0.000053,1.0001
kk_grpo_v3_final_holdout_000018,NKN,NKN,0.701880,1,1.2189,1.2189,0.389355,2.2471,NKN,0.529576,1,0.4363,0.4363,0.470278,2.6589,NKN,0.992704,1,5.1820,5.1820,0.023220,1.0495,NKN,0.529134,1,0.1712,0.1712,0.383684,2.2208,NKN,0.778153,1,1.5075,1.5075,0.311687,1.9120
kk_grpo_v3_final_holdout_000019,KKN,KNN,0.268931,2,0.9933,-0.9933,0.294284,1.8440,KKN,0.932447,1,2.6263,2.6263,0.119267,1.2815,KKN,0.817565,1,1.5002,1.5002,0.228694,1.6089,KKN,0.984088,1,4.1252,4.1252,0.039317,1.0852,KKN,0.987561,1,4.3753,4.3753,0.032236,1.0693
kk_grpo_v3_final_holdout_000020,KKK,KKK,0.945600,1,3.1250,3.1250,0.120215,1.2840,KKK,0.998017,1,7.1240,7.1240,0.008057,1.0169,KKK,0.999956,1,10.7509,10.7509,0.000258,1.0005,KKK,0.999819,1,9.0625,9.0625,0.000897,1.0019,KKK,0.999964,1,10.7500,10.7500,0.000213,1.0004
kk_grpo_v3_final_holdout_000021,NNN,NNN,0.647079,1,0.7052,0.7052,0.367452,2.1471,NNN,0.589730,1,0.3709,0.3709,0.335177,2.0077,NNN,0.880869,1,2.1125,2.1125,0.195092,1.5003,NNN,0.629898,1,0.5921,0.5921,0.356953,2.1007,NNN,0.774260,1,1.2468,1.2468,0.265007,1.7351
kk_grpo_v3_final_holdout_000022,KNK,KNK,0.548217,1,0.6536,0.6536,0.499042,2.8228,KNK,0.743827,1,1.6863,1.6863,0.377388,2.1919,KNK,0.751974,1,1.2491,1.2491,0.321226,1.9503,KNK,0.976581,1,4.2597,4.2597,0.063613,1.1414,KNK,0.962710,1,3.9983,3.9983,0.092501,1.2121
kk_grpo_v3_final_holdout_000023,NKK,NKK,0.577972,1,0.9035,0.9035,0.573035,3.2923,NKK,0.640265,1,0.9309,0.9309,0.446113,2.5286,NKK,0.833258,1,1.8772,1.8772,0.266409,1.7402,NKK,0.793613,1,1.4823,1.4823,0.289598,1.8261,NKK,0.721501,1,1.4619,1.4619,0.393894,2.2684
kk_grpo_v3_final_holdout_000024,KNN,KNN,0.966890,1,3.3748,3.3748,0.070003,1.1567,KNN,0.979663,1,3.8749,3.8749,0.047785,1.1045,KNN,0.705769,1,0.8749,0.8749,0.291390,1.8330,KNN,0.993304,1,4.9998,4.9998,0.019338,1.0410,KNN,0.893299,1,2.1249,2.1249,0.163301,1.4044
kk_grpo_v3_final_holdout_000025,NNK,NNK,0.878637,1,2.0007,2.0007,0.183863,1.4657,NNK,0.978414,1,3.8700,3.8700,0.052369,1.1150,NNK,0.961471,1,3.2309,3.2309,0.079910,1.1808,NNK,0.946486,1,2.8746,2.8746,0.100750,1.2331,NNK,0.904427,1,2.2492,2.2492,0.152216,1.3723
kk_grpo_v3_final_holdout_000026,NNK,NKK,0.053517,7,0.4375,-1.8438,0.841740,5.7566,NKK,0.036274,3,0.8473,-2.8413,0.504323,2.8540,NKK,0.010932,3,1.2588,-4.2494,0.296490,1.8525,NKK,0.013810,3,0.7419,-3.8713,0.355719,2.0953,NKK,0.039624,3,1.5878,-2.9993,0.299315,1.8634
kk_grpo_v3_final_holdout_000027,NNK,NNK,0.851980,1,1.7604,1.7604,0.205829,1.5342,NNK,0.893301,1,2.1260,2.1260,0.163800,1.4058,NNK,0.932428,1,2.6263,2.6263,0.119396,1.2818,NNK,0.991763,1,4.9294,4.9294,0.024907,1.0532,NNK,0.924101,1,2.5000,2.5000,0.129384,1.3087
kk_grpo_v3_final_holdout_000028,NNK,NNK,0.715766,1,1.7349,1.7349,0.452132,2.5604,NNK,0.727156,1,1.3750,1.3750,0.390922,2.2544,NNK,0.879470,1,2.2617,2.2617,0.217374,1.5715,NNK,0.945900,1,3.3793,3.3793,0.126228,1.3002,NNK,0.610959,1,0.5000,0.5000,0.363792,2.1308
kk_grpo_v3_final_holdout_000029,NKK,KNK,0.433775,2,0.1465,-0.1465,0.458128,2.5926,NKK,0.499642,1,0.0012,0.0012,0.338387,2.0211,NKK,0.776865,1,1.2619,1.2619,0.263972,1.7314,NKK,0.994756,1,5.8251,5.8251,0.018629,1.0395,NKK,0.823729,1,1.6149,1.6149,0.246807,1.6707
kk_grpo_v3_final_holdout_000030,KKK,KKK,0.999940,1,10.2501,10.2501,0.000331,1.0007,KKK,0.999992,1,12.0626,12.0626,0.000052,1.0001,KKK,0.999989,1,11.8821,11.8821,0.000066,1.0001,KKK,0.999994,1,12.5619,12.5619,0.000037,1.0001,KKK,0.999998,1,13.8127,13.8127,0.000013,1.0000
kk_grpo_v3_final_holdout_000031,KNK,KNK,0.991142,1,4.8750,4.8750,0.026958,1.0577,KNK,0.999710,1,8.5001,8.5001,0.001387,1.0029,KNK,0.999149,1,7.1251,7.1251,0.003404,1.0071,KNK,0.999987,1,11.8751,11.8751,0.000086,1.0002,KNK,0.998497,1,6.5001,6.5001,0.005426,1.0113
kk_grpo_v3_final_holdout_000032,NNK,NNK,0.999522,1,7.8748,7.8748,0.002138,1.0045,NNK,0.999852,1,9.5000,9.5000,0.000770,1.0016,NNK,0.999852,1,9.5000,9.5000,0.000771,1.0016,NNK,0.999769,1,8.5001,8.5001,0.001092,1.0023,NNK,0.995370,1,5.3750,5.3750,0.014258,1.0301
kk_grpo_v3_final_holdout_000033,NNN,NNN,0.992611,1,5.0777,5.0777,0.023359,1.0498,NNN,0.996245,1,5.7271,5.7271,0.012879,1.0271,NNN,0.970538,1,3.5448,3.5448,0.067167,1.1499,NNN,0.998277,1,6.7687,6.7687,0.006708,1.0140,NNN,0.990274,1,4.6821,4.6821,0.027563,1.0590
kk_grpo_v3_final_holdout_000034,KKN,KKN,0.754429,1,1.2513,1.2513,0.312907,1.9168,KKN,0.730736,1,1.0033,1.0033,0.284493,1.8069,NKN,0.294173,3,0.2500,-0.2991,0.524443,2.9759,KKN,0.835371,1,1.6428,1.6428,0.222544,1.5885,KKN,0.817214,1,1.4987,1.4987,0.229559,1.6118
kk_grpo_v3_final_holdout_000035,NNN,NNN,0.991858,1,5.5045,5.5045,0.026892,1.0575,NNN,0.993607,1,5.6252,5.6252,0.021306,1.0453,NNN,0.974610,1,3.8370,3.8370,0.063998,1.1423,NNN,0.997775,1,6.7496,6.7496,0.008402,1.0176,NNN,0.999184,1,7.5492,7.5492,0.003489,1.0073
kk_grpo_v3_final_holdout_000036,KKN,NNK,0.437774,2,0.2350,-0.2350,0.351968,2.0790,KKN,0.499993,1,0.0091,0.0091,0.346354,2.0549,KKN,0.437869,1,0.0570,0.0570,0.531248,3.0183,NNK,0.164444,3,0.9476,-1.2502,0.521556,2.9581,KKN,0.957872,1,3.4697,3.4697,0.101689,1.2355
kk_grpo_v3_final_holdout_000037,KNN,NKK,0.348370,2,0.5826,-0.5826,0.367143,2.1457,NKK,0.437267,2,0.2427,-0.2427,0.344865,2.0485,NKK,0.029315,2,3.4702,-3.4702,0.125434,1.2980,KNN,0.754879,1,1.1269,1.1269,0.269672,1.7520,NKN,0.294099,2,0.7327,-0.7327,0.425026,2.4201
kk_grpo_v3_final_holdout_000038,KKK,KKK,0.997517,1,6.0000,6.0000,0.008388,1.0176,KKK,0.999858,1,8.8750,8.8750,0.000678,1.0014,KKK,0.999737,1,8.2500,8.2500,0.001178,1.0025,KKK,0.996402,1,5.6250,5.6250,0.011480,1.0242,KKK,0.999997,1,13.0000,13.0000,0.000021,1.0000
kk_grpo_v3_final_holdout_000039,NKK,NKN,0.024978,4,1.4784,-3.3750,0.394498,2.2713,NKK,0.617193,1,1.1250,1.1250,0.502458,2.8429,NKK,0.638122,1,0.6308,0.6308,0.362280,2.1241,NKK,0.522062,1,0.8242,0.8242,0.563408,3.2271,NKK,0.528415,1,0.3151,0.3151,0.468057,2.6467
kk_grpo_v3_final_holdout_000040,NNN,NNN,0.999781,1,9.2137,9.2137,0.001129,1.0023,NNN,0.999876,1,9.5049,9.5049,0.000656,1.0014,NNN,0.999978,1,11.4010,11.4010,0.000136,1.0003,NNN,0.999994,1,12.7499,12.7499,0.000043,1.0001,NNN,0.999985,1,11.6414,11.6414,0.000094,1.0002
kk_grpo_v3_final_holdout_000041,KKK,KKN,0.219926,2,1.2500,-1.2500,0.285065,1.8090,KKK,0.730909,1,1.0000,1.0000,0.280866,1.7933,KKK,0.999913,1,9.8750,9.8750,0.000462,1.0010,KKN,0.437803,2,0.2500,-0.2500,0.329862,1.9856,KKK,0.651352,1,0.6250,0.6250,0.310992,1.9092
