id,gold_pattern,m_correct_16,reward_mean_16,k16_zero_variance,k16_sum_positive,k16_sum_abs_negative,k16_mean_abs_advantage,k16_n_negative
kk_grpo_v1_train_000000,KKK,7,0.4375,False,7.683713367182588,7.683713367182588,0.9604641708978237,9
kk_grpo_v1_train_000067,NKK,0,0.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000074,NKN,6,0.375,False,7.498500299940012,7.498500299940012,0.9373125374925015,10
kk_grpo_v1_train_000101,KNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000107,NKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000129,KNK,14,0.875,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,2
kk_grpo_v1_train_000149,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000158,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000224,NNN,8,0.5,False,7.744466982832346,7.744466982832346,0.9680583728540433,8
kk_grpo_v1_train_000230,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000234,NKK,8,0.5,False,7.744466982832346,7.744466982832346,0.9680583728540433,8
kk_grpo_v1_train_000238,NNN,14,0.875,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,2
kk_grpo_v1_train_000257,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000285,NNN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000288,KNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000365,NKN,11,0.6875,False,7.1792036214468755,7.1792036214468755,0.8974004526808594,5
kk_grpo_v1_train_000401,NNK,9,0.5625,False,7.683713367182588,7.683713367182588,0.9604641708978237,7
kk_grpo_v1_train_000413,KKK,0,0.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000422,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000438,NNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000471,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000509,KNN,10,0.625,False,7.498500299940012,7.498500299940012,0.9373125374925015,6
kk_grpo_v1_train_000510,NKK,7,0.4375,False,7.683713367182588,7.683713367182588,0.9604641708978237,9
kk_grpo_v1_train_000597,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000614,KKN,0,0.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000643,NNK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000648,NKK,8,0.5,False,7.744466982832346,7.744466982832346,0.9680583728540433,8
kk_grpo_v1_train_000668,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000673,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000684,NKN,11,0.6875,False,7.1792036214468755,7.1792036214468755,0.8974004526808594,5
kk_grpo_v1_train_000725,KNK,12,0.75,False,6.706704267834585,6.706704267834583,0.8383380334793229,4
kk_grpo_v1_train_000734,KKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000794,KNN,13,0.8125,False,6.04519368323583,6.045193683235832,0.755649210404479,3
kk_grpo_v1_train_000892,KKN,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000943,KNK,13,0.8125,False,6.04519368323583,6.045193683235832,0.755649210404479,3
kk_grpo_v1_train_000967,NKK,16,1.0,True,0.0,0.0,0.0,0
kk_grpo_v1_train_000976,KKN,14,0.875,False,5.1219758220062985,5.1219758220062985,0.6402469777507873,2
kk_grpo_v1_train_001000,NKN,7,0.4375,False,7.683713367182588,7.683713367182588,0.9604641708978237,9
kk_grpo_v1_train_001002,NNK,7,0.4375,False,7.683713367182588,7.683713367182588,0.9604641708978237,9
kk_grpo_v1_train_001003,KNN,4,0.25,False,6.706704267834583,6.706704267834585,0.8383380334793229,12
kk_grpo_v1_train_001008,KKK,15,0.9375,False,3.748500599760097,3.748500599760096,0.46856257497001197,1
