step,arm,p10_gold_q,median_gold_q,frac_gold_q_lt_05,top1_accuracy,top3_coverage,normalized_entropy,low_support_median_delta,low_support_frac_lt_05
100,k8,0.060477,0.855831,0.0750,0.7200,0.9800,0.190142,-0.019677,0.5217
100,k16,0.060078,0.868059,0.0850,0.7500,0.9750,0.191635,-0.033444,0.5217
200,k8,0.087594,0.904624,0.0700,0.7500,0.9850,0.177210,0.000414,0.4348
200,k16,0.099313,0.917906,0.0700,0.7500,0.9800,0.177556,-0.012896,0.4783
300,k8,0.033111,0.894993,0.1100,0.7650,0.9650,0.159384,-0.037238,0.7391
300,k16,0.074463,0.914211,0.0950,0.7700,0.9650,0.154301,-0.021484,0.6957
400,k8,0.021858,0.921447,0.1200,0.7550,0.9600,0.145839,-0.037257,0.7391
400,k16,0.060627,0.921650,0.0950,0.7800,0.9600,0.151006,-0.037238,0.6522
500,k8,0.019808,0.923154,0.1050,0.7550,0.9600,0.146692,-0.045853,0.7391
500,k16,0.019940,0.959538,0.1200,0.7550,0.9650,0.133807,-0.037227,0.7391
600,k8,0.034084,0.939988,0.1150,0.7750,0.9600,0.141085,-0.037272,0.7391
600,k16,0.017764,0.951315,0.1300,0.7400,0.9650,0.132854,-0.021515,0.6957
