gt_pattern,N,acc_A,acc_C,delta,WC,CW,net
KKK,274,0.9051094890510949,0.9416058394160584,0.0364963503649635,11,1,10
KKN,238,0.6512605042016807,0.6848739495798319,0.03361344537815126,31,23,8
KNK,275,0.7054545454545454,0.6545454545454545,-0.05090909090909091,17,31,-14
KNN,233,0.6695278969957081,0.5836909871244635,-0.08583690987124463,6,26,-20
NKK,238,0.6386554621848739,0.8151260504201681,0.17647058823529413,47,5,42
NKN,239,0.7364016736401674,0.799163179916318,0.06276150627615062,27,12,15
NNK,251,0.7808764940239044,0.7689243027888446,-0.01195219123505976,13,16,-3
NNN,252,0.876984126984127,0.8095238095238095,-0.06746031746031746,2,19,-17
A->C,,,,,,,
B->C|KKK,274,0.9306569343065694,0.9416058394160584,0.010948905109489052,8,5,3
B->C|KKN,238,0.7563025210084033,0.6848739495798319,-0.07142857142857142,14,31,-17
B->C|KNK,275,0.7454545454545455,0.6545454545454545,-0.09090909090909091,13,38,-25
B->C|KNN,233,0.7253218884120172,0.5836909871244635,-0.14163090128755365,6,39,-33
B->C|NKK,238,0.7184873949579832,0.8151260504201681,0.09663865546218488,31,8,23
B->C|NKN,239,0.7322175732217573,0.799163179916318,0.06694560669456066,29,13,16
B->C|NNK,251,0.749003984063745,0.7689243027888446,0.0199203187250996,18,13,5
B->C|NNN,252,0.8214285714285714,0.8095238095238095,-0.011904761904761904,9,12,-3
